SK_CompraItem;NumeroPedido;DataPedido;DataPrometida;DataRecebimento;SK_Item;SK_Fornecedor;SK_Deposito;QuantidadePedida;QuantidadeRecebida;QuantidadeDevolvida;PrecoUnitario;ValorPedido;ValorRecebido;LeadTimeRealDias;FlagEntregaNoPrazo;FlagRecebimentoTotal;StatusPedido
889;PC000889;2024-10-22;2024-11-24;2024-11-25;67;13;1;110,0000;110,0000;0,0000;128,2787;14110,66;14110,66;34;NAO;SIM;Recebido
890;PC000890;2025-02-17;2025-03-22;2025-03-26;67;13;1;84,0000;75,0000;0,0000;127,3925;10700,97;9554,44;37;NAO;NAO;Recebido
891;PC000891;2025-04-17;2025-05-20;2025-05-10;67;13;1;133,0000;133,0000;0,0000;129,6609;17244,90;17244,90;23;SIM;SIM;Recebido
892;PC000892;2025-06-09;2025-07-12;2025-07-02;67;13;1;96,0000;69,0000;0,0000;128,9215;12376,46;8895,58;23;SIM;NAO;Recebido
893;PC000893;2025-08-19;2025-09-21;2025-09-18;67;13;1;104,0000;104,0000;0,0000;131,1659;13641,25;13641,25;30;SIM;SIM;Recebido
894;PC000894;2025-12-17;2026-01-19;2026-01-22;67;13;1;95,0000;95,0000;0,0000;133,5302;12685,37;12685,37;36;NAO;SIM;Recebido
895;PC000895;2026-03-18;2026-04-20;2026-04-10;67;13;1;102,0000;78,0000;0,0000;129,7648;13236,01;10121,65;23;SIM;NAO;Recebido
896;PC000896;2026-06-15;2026-07-18;2026-07-13;67;13;1;100,0000;100,0000;0,0000;130,8063;13080,63;13080,63;28;SIM;SIM;Recebido
897;PC000897;2025-01-30;2025-02-09;2025-02-08;68;14;1;64,0000;64,0000;0,0000;141,4818;9054,84;9054,84;9;SIM;SIM;Recebido
898;PC000898;2025-03-14;2025-03-24;2025-03-20;68;14;1;64,0000;64,0000;0,0000;145,9042;9337,87;9337,87;6;SIM;SIM;Recebido
899;PC000899;2025-05-06;2025-05-16;2025-05-15;68;14;1;55,0000;55,0000;0,0000;148,7515;8181,33;8181,33;9;SIM;SIM;Recebido
900;PC000900;2025-06-30;2025-07-10;2025-07-06;68;14;1;64,0000;64,0000;0,0000;145,1568;9290,04;9290,04;6;SIM;SIM;Recebido
901;PC000901;2025-07-25;2025-08-04;2025-07-27;68;14;1;40,0000;36,0000;0,0000;153,5136;6140,54;5526,49;2;SIM;NAO;Recebido
902;PC000902;2025-08-01;2025-08-11;2025-08-07;68;14;1;45,0000;45,0000;0,0000;147,3433;6630,45;6630,45;6;SIM;SIM;Recebido
903;PC000903;2025-10-02;2025-10-12;2025-10-07;68;14;1;64,0000;64,0000;0,0000;146,9502;9404,81;9404,81;5;SIM;SIM;Recebido
904;PC000904;2025-12-10;2025-12-20;2025-12-14;68;14;1;48,0000;48,0000;0,0000;148,8923;7146,83;7146,83;4;SIM;SIM;Recebido
905;PC000905;2026-03-13;2026-03-23;2026-03-21;68;14;1;64,0000;64,0000;0,0000;153,8811;9848,39;9848,39;8;SIM;SIM;Recebido
906;PC000906;2026-05-05;2026-05-15;2026-05-13;68;14;1;40,0000;40,0000;0,0000;148,5772;5943,09;5943,09;8;SIM;SIM;Recebido
907;PC000907;2026-06-30;2026-07-10;2026-07-06;68;14;1;40,0000;40,0000;0,0000;149,4477;5977,91;5977,91;6;SIM;SIM;Recebido
908;PC000908;2026-08-11;2026-08-21;2026-08-18;68;14;1;64,0000;64,0000;0,0000;145,7409;9327,42;9327,42;7;SIM;SIM;Recebido
909;PC000909;2024-09-20;2024-10-03;2024-09-27;69;10;2;540,0000;540,0000;0,0000;871,9331;470843,87;470843,87;7;SIM;SIM;Recebido
910;PC000910;2025-01-15;2025-01-28;2025-01-21;69;10;2;469,0000;469,0000;0,0000;849,5349;398431,87;398431,87;6;SIM;SIM;Recebido
911;PC000911;2024-11-04;2024-11-17;2024-11-16;69;10;3;565,0000;565,0000;0,0000;850,4512;480504,93;480504,93;12;SIM;SIM;Recebido
912;PC000912;2025-04-07;2025-04-20;2025-04-16;69;10;3;581,0000;581,0000;0,0000;884,6173;513962,65;513962,65;9;SIM;SIM;Recebido
913;PC000913;2025-08-14;2025-08-27;2025-08-22;69;10;3;495,0000;495,0000;0,0000;897,4130;444219,43;444219,43;8;SIM;SIM;Recebido
914;PC000914;2026-01-14;2026-01-27;2026-01-21;69;10;3;483,0000;483,0000;0,0000;854,8764;412905,30;412905,30;7;SIM;SIM;Recebido
915;PC000915;2026-05-08;2026-05-21;2026-05-17;69;10;3;522,0000;522,0000;0,0000;900,0846;469844,16;469844,16;9;SIM;SIM;Recebido
916;PC000916;2024-09-12;2024-09-25;2024-09-21;70;17;1;40,0000;40,0000;0,0000;265,0068;10600,27;10600,27;9;SIM;SIM;Recebido
917;PC000917;2024-11-21;2024-12-04;2024-11-28;70;17;1;48,0000;48,0000;0,0000;253,3452;12160,57;12160,57;7;SIM;SIM;Recebido
918;PC000918;2025-02-18;2025-03-03;2025-02-23;70;17;1;54,0000;54,0000;0,0000;256,5934;13856,04;13856,04;5;SIM;SIM;Recebido
919;PC000919;2025-03-14;2025-03-27;2025-03-20;70;17;1;36,0000;36,0000;0,0000;265,1372;9544,94;9544,94;6;SIM;SIM;Recebido
920;PC000920;2024-10-24;2024-11-11;2024-11-11;71;3;3;202,0000;202,0000;0,0000;46,6031;9413,83;9413,83;18;SIM;SIM;Recebido
921;PC000921;2024-11-20;2024-12-08;2024-12-02;71;3;3;190,0000;190,0000;0,0000;47,2791;8983,03;8983,03;12;SIM;SIM;Recebido
922;PC000922;2025-02-24;2025-03-14;2025-03-13;71;3;3;313,0000;313,0000;0,0000;46,4612;14542,36;14542,36;17;SIM;SIM;Recebido
923;PC000923;2025-04-29;2025-05-17;2025-05-12;71;3;3;220,0000;199,0000;0,0000;48,0554;10572,19;9563,02;13;SIM;NAO;Recebido
924;PC000924;2025-05-05;2025-05-23;2025-05-23;71;3;3;177,0000;177,0000;0,0000;46,0277;8146,90;8146,90;18;SIM;SIM;Recebido
925;PC000925;2025-09-09;2025-09-27;2025-09-20;71;3;3;284,0000;284,0000;0,0000;45,6546;12965,91;12965,91;11;SIM;SIM;Recebido
926;PC000926;2025-10-31;2025-11-18;2025-11-10;71;3;3;200,0000;200,0000;0,0000;47,6732;9534,64;9534,64;10;SIM;SIM;Recebido
927;PC000927;2026-03-25;2026-04-12;2026-04-08;71;3;3;313,0000;313,0000;0,0000;46,8925;14677,35;14677,35;14;SIM;SIM;Recebido
928;PC000928;2026-04-17;2026-05-05;2026-05-07;71;3;3;285,0000;285,0000;0,0000;48,8890;13933,37;13933,37;20;NAO;SIM;Recebido
929;PC000929;2026-06-08;2026-06-26;2026-06-18;71;3;3;209,0000;209,0000;0,0000;48,1987;10073,53;10073,53;10;SIM;SIM;Recebido
930;PC000930;2024-10-09;2024-10-27;2024-10-24;71;3;2;250,0000;250,0000;0,0000;43,8968;10974,20;10974,20;15;SIM;SIM;Recebido
931;PC000931;2025-01-24;2025-02-11;2025-02-03;71;3;2;196,0000;196,0000;0,0000;46,5514;9124,07;9124,07;10;SIM;SIM;Recebido
932;PC000932;2025-03-04;2025-03-22;2025-03-17;71;3;2;249,0000;249,0000;0,0000;43,7470;10893,00;10893,00;13;SIM;SIM;Recebido
933;PC000933;2025-04-16;2025-05-04;2025-04-30;71;3;2;192,0000;192,0000;4,0000;43,4827;8348,68;8348,68;14;SIM;SIM;Recebido
934;PC000934;2025-05-23;2025-06-10;2025-06-02;71;3;2;313,0000;313,0000;0,0000;44,5275;13937,11;13937,11;10;SIM;SIM;Recebido
935;PC000935;2025-06-06;2025-06-24;2025-06-24;71;3;2;182,0000;182,0000;0,0000;43,3583;7891,21;7891,21;18;SIM;SIM;Recebido
936;PC000936;2025-08-25;2025-09-12;2025-09-06;71;3;2;290,0000;290,0000;0,0000;46,3265;13434,69;13434,69;12;SIM;SIM;Recebido
937;PC000937;2025-11-19;2025-12-07;2025-12-01;71;3;2;313,0000;225,0000;0,0000;43,8981;13740,11;9877,07;12;SIM;NAO;Recebido
938;PC000938;2025-12-22;2026-01-09;2026-01-04;71;3;2;180,0000;180,0000;0,0000;44,8895;8080,11;8080,11;13;SIM;SIM;Recebido
939;PC000939;2026-01-13;2026-01-31;2026-01-23;71;3;2;164,0000;164,0000;0,0000;44,6982;7330,50;7330,50;10;SIM;SIM;Recebido
940;PC000940;2026-02-19;2026-03-09;2026-03-01;71;3;2;180,0000;180,0000;0,0000;45,6420;8215,56;8215,56;10;SIM;SIM;Recebido
941;PC000941;2026-03-11;2026-03-29;2026-03-22;71;3;2;244,0000;244,0000;0,0000;45,8899;11197,14;11197,14;11;SIM;SIM;Recebido
942;PC000942;2026-05-05;2026-05-23;2026-05-23;71;3;2;211,0000;211,0000;0,0000;44,0736;9299,53;9299,53;18;SIM;SIM;Recebido
943;PC000943;2026-06-01;2026-06-19;2026-06-11;71;3;2;172,0000;172,0000;0,0000;45,7716;7872,72;7872,72;10;SIM;SIM;Recebido
944;PC000944;2026-07-02;2026-07-20;2026-07-18;71;3;2;167,0000;167,0000;0,0000;45,7552;7641,12;7641,12;16;SIM;SIM;Recebido
945;PC000945;2025-02-07;2025-02-17;2025-02-13;72;32;1;449,0000;449,0000;0,0000;40,1169;18012,49;18012,49;6;SIM;SIM;Recebido
946;PC000946;2025-05-07;2025-05-17;2025-05-13;72;32;1;449,0000;449,0000;0,0000;39,3455;17666,13;17666,13;6;SIM;SIM;Recebido
947;PC000947;2025-08-20;2025-08-30;2025-08-25;72;32;1;410,0000;410,0000;0,0000;42,1753;17291,87;17291,87;5;SIM;SIM;Recebido
948;PC000948;2026-03-05;2026-03-15;2026-03-10;72;32;1;449,0000;449,0000;20,0000;40,6139;18235,64;18235,64;5;SIM;SIM;Recebido
949;PC000949;2026-06-17;2026-06-27;2026-06-25;72;32;1;395,0000;395,0000;0,0000;40,4956;15995,76;15995,76;8;SIM;SIM;Recebido
950;PC000950;2024-10-02;2024-10-15;2024-10-10;73;25;1;105,0000;105,0000;0,0000;273,9433;28764,05;28764,05;8;SIM;SIM;Recebido
951;PC000951;2025-01-20;2025-02-02;2025-01-27;73;25;1;132,0000;132,0000;0,0000;280,0970;36972,80;36972,80;7;SIM;SIM;Recebido
952;PC000952;2025-03-13;2025-03-26;2025-03-19;73;25;1;111,0000;111,0000;0,0000;282,8561;31397,03;31397,03;6;SIM;SIM;Recebido
953;PC000953;2025-06-02;2025-06-15;2025-06-08;73;25;1;144,0000;144,0000;0,0000;286,5007;41256,10;41256,10;6;SIM;SIM;Recebido
954;PC000954;2025-09-25;2025-10-08;2025-10-05;73;25;1;124,0000;124,0000;0,0000;288,9981;35835,76;35835,76;10;SIM;SIM;Recebido
955;PC000955;2025-12-11;2025-12-24;2025-12-17;73;25;1;112,0000;112,0000;0,0000;285,5197;31978,21;31978,21;6;SIM;SIM;Recebido
956;PC000956;2026-03-02;2026-03-15;2026-03-13;73;25;1;111,0000;111,0000;0,0000;285,0271;31638,01;31638,01;11;SIM;SIM;Recebido
957;PC000957;2026-06-01;2026-06-14;2026-06-10;73;25;1;152,0000;152,0000;0,0000;285,3048;43366,33;43366,33;9;SIM;SIM;Recebido
958;PC000958;2024-09-16;2024-11-03;2024-11-03;74;14;1;218,0000;218,0000;0,0000;84,5639;18434,93;18434,93;48;SIM;SIM;Recebido
959;PC000959;2024-10-30;2024-12-17;2024-12-09;74;14;1;218,0000;218,0000;0,0000;86,4285;18841,41;18841,41;40;SIM;SIM;Recebido
960;PC000960;2024-11-26;2025-01-13;2025-01-17;74;14;1;90,0000;90,0000;0,0000;90,2352;8121,17;8121,17;52;NAO;SIM;Recebido
961;PC000961;2025-02-25;2025-04-14;2025-04-12;74;14;1;90,0000;90,0000;0,0000;89,6833;8071,50;8071,50;46;SIM;SIM;Recebido
962;PC000962;2025-03-27;2025-05-14;2025-05-12;74;14;1;90,0000;90,0000;0,0000;92,5842;8332,58;8332,58;46;SIM;SIM;Recebido
963;PC000963;2025-04-25;2025-06-12;2025-05-11;74;14;1;130,0000;130,0000;0,0000;92,8737;12073,58;12073,58;16;SIM;SIM;Recebido
964;PC000964;2025-07-22;2025-09-08;2025-09-08;74;14;1;92,0000;92,0000;0,0000;87,9618;8092,49;8092,49;48;SIM;SIM;Recebido
965;PC000965;2025-08-14;2025-10-01;2025-08-30;74;14;1;128,0000;128,0000;0,0000;87,2789;11171,70;11171,70;16;SIM;SIM;Recebido
966;PC000966;2025-11-04;2025-12-22;2025-12-16;74;14;1;90,0000;90,0000;0,0000;92,1242;8291,18;8291,18;42;SIM;SIM;Recebido
967;PC000967;2025-12-17;2026-02-03;2026-01-12;74;14;1;103,0000;103,0000;0,0000;92,7590;9554,18;9554,18;26;SIM;SIM;Recebido
968;PC000968;2026-01-05;2026-02-22;2026-02-12;74;14;1;90,0000;90,0000;0,0000;87,4951;7874,56;7874,56;38;SIM;SIM;Recebido
969;PC000969;2026-02-27;2026-04-16;2026-04-12;74;14;1;111,0000;111,0000;0,0000;92,8526;10306,64;10306,64;44;SIM;SIM;Recebido
970;PC000970;2026-03-10;2026-04-27;2026-04-26;74;14;1;218,0000;218,0000;0,0000;90,4423;19716,42;19716,42;47;SIM;SIM;Recebido
971;PC000971;2026-05-08;2026-06-25;2026-07-23;74;14;1;100,0000;100,0000;5,0000;89,8088;8980,88;8980,88;76;NAO;SIM;Recebido
972;PC000972;2026-06-01;2026-07-19;2026-07-18;74;14;1;214,0000;214,0000;0,0000;88,6033;18961,11;18961,11;47;SIM;SIM;Recebido
973;PC000973;2026-08-13;2026-09-30;;74;14;1;90,0000;0,0000;0,0000;89,5950;8063,55;0,00;;NAO;NAO;Aberto
974;PC000974;2024-09-20;2024-11-07;2024-11-08;74;14;2;90,0000;90,0000;0,0000;88,2711;7944,40;7944,40;49;NAO;SIM;Recebido
975;PC000975;2024-10-08;2024-11-25;2024-11-18;74;14;2;129,0000;129,0000;0,0000;92,2987;11906,53;11906,53;41;SIM;SIM;Recebido
976;PC000976;2024-12-25;2025-02-11;2025-01-31;74;14;2;117,0000;117,0000;6,0000;90,8471;10629,11;10629,11;37;SIM;SIM;Recebido
977;PC000977;2025-01-16;2025-03-05;2025-02-05;74;14;2;90,0000;90,0000;2,0000;89,0082;8010,74;8010,74;20;SIM;SIM;Recebido
978;PC000978;2025-02-13;2025-04-02;2025-03-21;74;14;2;90,0000;90,0000;0,0000;86,6340;7797,06;7797,06;36;SIM;SIM;Recebido
979;PC000979;2024-09-26;2024-11-13;2024-11-02;75;10;3;134,0000;134,0000;0,0000;58,3036;7812,68;7812,68;37;SIM;SIM;Recebido
980;PC000980;2024-10-22;2024-12-09;2024-12-11;75;10;3;200,0000;200,0000;0,0000;59,6171;11923,42;11923,42;50;NAO;SIM;Recebido
981;PC000981;2024-11-13;2024-12-31;2024-12-15;75;10;3;151,0000;151,0000;0,0000;58,4085;8819,68;8819,68;32;SIM;SIM;Recebido
982;PC000982;2025-03-26;2025-05-13;2025-05-31;75;10;3;134,0000;134,0000;0,0000;60,9437;8166,46;8166,46;66;NAO;SIM;Recebido
983;PC000983;2025-04-16;2025-06-03;2025-05-15;75;10;3;274,0000;274,0000;0,0000;60,0421;16451,54;16451,54;29;SIM;SIM;Recebido
984;PC000984;2025-06-10;2025-07-28;2025-07-14;75;10;3;218,0000;218,0000;0,0000;60,8829;13272,47;13272,47;34;SIM;SIM;Recebido
985;PC000985;2025-07-31;2025-09-17;2025-09-12;75;10;3;274,0000;274,0000;0,0000;61,6120;16881,69;16881,69;43;SIM;SIM;Recebido
986;PC000986;2025-08-28;2025-10-15;2025-10-23;75;10;3;274,0000;274,0000;0,0000;58,9482;16151,81;16151,81;56;NAO;SIM;Recebido
987;PC000987;2025-09-12;2025-10-30;2025-10-26;75;10;3;134,0000;134,0000;0,0000;60,2757;8076,94;8076,94;44;SIM;SIM;Recebido
988;PC000988;2025-12-23;2026-02-09;2026-01-19;75;10;3;134,0000;134,0000;0,0000;60,5072;8107,96;8107,96;27;SIM;SIM;Recebido
989;PC000989;2026-01-13;2026-03-02;2026-02-27;75;10;3;197,0000;197,0000;0,0000;60,1585;11851,22;11851,22;45;SIM;SIM;Recebido
990;PC000990;2026-02-13;2026-04-02;2026-03-11;75;10;3;134,0000;134,0000;0,0000;62,5424;8380,68;8380,68;26;SIM;SIM;Recebido
991;PC000991;2026-03-23;2026-05-10;2026-04-20;75;10;3;154,0000;154,0000;0,0000;61,0988;9409,22;9409,22;28;SIM;SIM;Recebido
992;PC000992;2026-04-16;2026-06-03;2026-05-21;75;10;3;274,0000;274,0000;9,0000;62,5281;17132,70;17132,70;35;SIM;SIM;Recebido
993;PC000993;2026-05-25;2026-07-12;2026-07-02;75;10;3;145,0000;145,0000;0,0000;60,1569;8722,75;8722,75;38;SIM;SIM;Recebido
994;PC000994;2026-06-16;2026-08-03;2026-08-02;75;10;3;274,0000;274,0000;0,0000;59,2564;16236,25;16236,25;47;SIM;SIM;Recebido
995;PC000995;2026-07-22;2026-09-08;2026-08-25;75;10;3;233,0000;233,0000;0,0000;62,6155;14589,41;14589,41;34;SIM;SIM;Recebido
996;PC000996;2024-10-16;2024-12-03;2024-11-21;75;10;2;134,0000;134,0000;2,0000;58,7687;7875,01;7875,01;36;SIM;SIM;Recebido
997;PC000997;2024-11-28;2025-01-15;2025-01-14;75;10;2;134,0000;134,0000;0,0000;59,9001;8026,61;8026,61;47;SIM;SIM;Recebido
998;PC000998;2024-12-31;2025-02-17;2025-02-18;75;10;2;228,0000;228,0000;0,0000;59,3574;13533,49;13533,49;49;NAO;SIM;Recebido
999;PC000999;2025-01-21;2025-03-10;2025-03-02;75;10;2;174,0000;174,0000;0,0000;61,4258;10688,09;10688,09;40;SIM;SIM;Recebido
1000;PC001000;2025-02-17;2025-04-06;2025-04-10;75;10;2;134,0000;134,0000;0,0000;62,1645;8330,04;8330,04;52;NAO;SIM;Recebido
1001;PC001001;2025-03-13;2025-04-30;2025-05-08;75;10;2;163,0000;163,0000;6,0000;59,5381;9704,71;9704,71;56;NAO;SIM;Recebido
1002;PC001002;2025-04-15;2025-06-02;2025-05-01;75;10;2;205,0000;205,0000;5,0000;63,7111;13060,78;13060,78;16;SIM;SIM;Recebido
1003;PC001003;2025-05-05;2025-06-22;2025-06-23;75;10;2;167,0000;167,0000;7,0000;60,8609;10163,77;10163,77;49;NAO;SIM;Recebido
1004;PC001004;2025-06-06;2025-07-24;2025-07-30;75;10;2;229,0000;229,0000;0,0000;62,8425;14390,93;14390,93;54;NAO;SIM;Recebido
1005;PC001005;2025-07-02;2025-08-19;2025-08-30;75;10;2;165,0000;165,0000;0,0000;61,3800;10127,70;10127,70;59;NAO;SIM;Recebido
1006;PC001006;2025-08-28;2025-10-15;2025-10-06;75;10;2;245,0000;245,0000;0,0000;62,6666;15353,32;15353,32;39;SIM;SIM;Recebido
1007;PC001007;2025-09-05;2025-10-23;2025-11-04;75;10;2;274,0000;274,0000;0,0000;60,8290;16667,15;16667,15;60;NAO;SIM;Recebido
1008;PC001008;2025-10-14;2025-12-01;2025-12-02;75;10;2;149,0000;149,0000;4,0000;60,1743;8965,97;8965,97;49;NAO;SIM;Recebido
1009;PC001009;2025-11-11;2025-12-29;2025-12-20;75;10;2;134,0000;124,0000;6,0000;59,6715;7995,98;7399,27;39;SIM;NAO;Recebido
1010;PC001010;2026-01-26;2026-03-15;2026-03-07;75;10;2;149,0000;149,0000;0,0000;63,9655;9530,86;9530,86;40;SIM;SIM;Recebido
1011;PC001011;2026-02-26;2026-04-15;2026-03-27;75;10;2;149,0000;149,0000;0,0000;61,6785;9190,10;9190,10;29;SIM;SIM;Recebido
1012;PC001012;2026-04-30;2026-06-17;2026-06-02;75;10;2;148,0000;148,0000;0,0000;63,3188;9371,18;9371,18;33;SIM;SIM;Recebido
1013;PC001013;2026-05-06;2026-06-23;2026-06-23;75;10;2;197,0000;197,0000;0,0000;64,9121;12787,68;12787,68;48;SIM;SIM;Recebido
1014;PC001014;2026-07-17;2026-09-03;2026-08-26;75;10;2;134,0000;134,0000;0,0000;66,0864;8855,58;8855,58;40;SIM;SIM;Recebido
1015;PC001015;2026-08-17;2026-10-04;;75;10;2;161,0000;0,0000;0,0000;62,5585;10071,92;0,00;;NAO;NAO;Aberto
1016;PC001016;2024-09-06;2024-10-24;2024-10-06;76;22;1;103,0000;103,0000;3,0000;147,7971;15223,10;15223,10;30;SIM;SIM;Recebido
1017;PC001017;2025-01-17;2025-03-06;2025-02-19;76;22;1;77,0000;77,0000;0,0000;145,1799;11178,85;11178,85;33;SIM;SIM;Recebido
1018;PC001018;2025-04-29;2025-06-16;2025-06-03;76;22;1;75,0000;75,0000;0,0000;142,2746;10670,59;10670,59;35;SIM;SIM;Recebido
1019;PC001019;2025-05-13;2025-06-30;2025-06-06;76;22;1;90,0000;90,0000;0,0000;148,8117;13393,05;13393,05;24;SIM;SIM;Recebido
1020;PC001020;2026-02-10;2026-03-30;2026-03-18;76;22;1;78,0000;78,0000;0,0000;144,2169;11248,92;11248,92;36;SIM;SIM;Recebido
1021;PC001021;2026-04-28;2026-06-15;2026-06-10;76;22;1;65,0000;65,0000;0,0000;148,3908;9645,40;9645,40;43;SIM;SIM;Recebido
1022;PC001022;2026-05-07;2026-06-24;2026-06-08;76;22;1;69,0000;69,0000;0,0000;146,7490;10125,68;10125,68;32;SIM;SIM;Recebido
1023;PC001023;2024-09-25;2024-11-12;2024-11-08;77;33;1;170,0000;170,0000;0,0000;1525,3148;259303,52;259303,52;44;SIM;SIM;Recebido
1024;PC001024;2024-10-04;2024-11-21;2024-10-23;77;33;1;290,0000;290,0000;0,0000;1504,5957;436332,75;436332,75;19;SIM;SIM;Recebido
1025;PC001025;2024-12-24;2025-02-10;2025-01-30;77;33;1;170,0000;170,0000;0,0000;1458,7389;247985,61;247985,61;37;SIM;SIM;Recebido
1026;PC001026;2025-01-31;2025-03-20;2025-03-24;77;33;1;170,0000;170,0000;0,0000;1469,7340;249854,78;249854,78;52;NAO;SIM;Recebido
1027;PC001027;2025-02-05;2025-03-25;2025-03-27;77;33;1;250,0000;250,0000;0,0000;1453,4574;363364,35;363364,35;50;NAO;SIM;Recebido
1028;PC001028;2025-03-11;2025-04-28;2025-04-16;77;33;1;170,0000;170,0000;0,0000;1446,6195;245925,32;245925,32;36;SIM;SIM;Recebido
1029;PC001029;2025-04-29;2025-06-16;2025-06-04;77;33;1;242,0000;242,0000;0,0000;1512,2358;365961,06;365961,06;36;SIM;SIM;Recebido
1030;PC001030;2025-05-19;2025-07-06;2025-06-10;77;33;1;290,0000;290,0000;0,0000;1538,5862;446190,00;446190,00;22;SIM;SIM;Recebido
1031;PC001031;2025-08-07;2025-09-24;2025-09-09;77;33;1;170,0000;170,0000;0,0000;1494,4273;254052,64;254052,64;33;SIM;SIM;Recebido
1032;PC001032;2025-12-11;2026-01-28;2026-01-10;77;33;1;170,0000;170,0000;0,0000;1499,4983;254914,71;254914,71;30;SIM;SIM;Recebido
1033;PC001033;2026-01-30;2026-03-19;2026-03-30;77;33;1;170,0000;170,0000;0,0000;1572,2418;267281,11;267281,11;59;NAO;SIM;Recebido
1034;PC001034;2026-02-20;2026-04-09;2026-03-17;77;33;1;270,0000;270,0000;0,0000;1474,7028;398169,76;398169,76;25;SIM;SIM;Recebido
1035;PC001035;2026-03-06;2026-04-23;2026-05-03;77;33;1;170,0000;170,0000;0,0000;1515,4567;257627,64;257627,64;58;NAO;SIM;Recebido
1036;PC001036;2026-04-03;2026-05-21;2026-05-08;77;33;1;290,0000;290,0000;0,0000;1475,3932;427864,03;427864,03;35;SIM;SIM;Recebido
1037;PC001037;2026-05-22;2026-07-09;2026-06-16;77;33;1;170,0000;170,0000;0,0000;1480,1076;251618,29;251618,29;25;SIM;SIM;Recebido
1038;PC001038;2026-06-15;2026-08-02;2026-07-28;77;33;1;170,0000;170,0000;0,0000;1452,1562;246866,55;246866,55;43;SIM;SIM;Recebido
1039;PC001039;2026-08-19;2026-10-06;;77;33;1;170,0000;0,0000;0,0000;1450,5020;246585,34;0,00;;NAO;NAO;Aberto
1040;PC001040;2024-10-22;2024-11-09;2024-11-09;78;2;3;25,0000;25,0000;0,0000;92,6816;2317,04;2317,04;18;SIM;SIM;Recebido
1041;PC001041;2024-12-27;2025-01-14;2025-01-15;78;2;3;25,0000;25,0000;0,0000;91,9514;2298,79;2298,79;19;NAO;SIM;Recebido
1042;PC001042;2025-01-08;2025-01-26;2025-01-24;78;2;3;26,0000;26,0000;0,0000;93,2442;2424,35;2424,35;16;SIM;SIM;Recebido
1043;PC001043;2025-03-26;2025-04-13;2025-04-08;78;2;3;42,0000;42,0000;0,0000;89,0294;3739,23;3739,23;13;SIM;SIM;Recebido
1044;PC001044;2025-06-20;2025-07-08;2025-07-03;78;2;3;46,0000;46,0000;0,0000;96,4216;4435,39;4435,39;13;SIM;SIM;Recebido
1045;PC001045;2026-04-30;2026-05-18;2026-05-16;78;2;3;46,0000;46,0000;0,0000;95,0488;4372,24;4372,24;16;SIM;SIM;Recebido
1046;PC001046;2026-06-10;2026-06-28;2026-06-22;78;2;3;25,0000;25,0000;0,0000;90,6758;2266,89;2266,89;12;SIM;SIM;Recebido
1047;PC001047;2026-08-20;2026-09-07;2026-08-24;78;2;3;25,0000;25,0000;0,0000;93,9505;2348,76;2348,76;4;SIM;SIM;Recebido
1048;PC001048;2024-10-18;2024-11-05;2024-10-25;78;2;2;46,0000;46,0000;0,0000;89,8878;4134,84;4134,84;7;SIM;SIM;Recebido
1049;PC001049;2024-12-04;2024-12-22;2024-12-21;78;2;2;25,0000;25,0000;0,0000;94,7850;2369,62;2369,62;17;SIM;SIM;Recebido
1050;PC001050;2025-02-05;2025-02-23;2025-02-19;78;2;2;46,0000;46,0000;0,0000;92,1342;4238,17;4238,17;14;SIM;SIM;Recebido
1051;PC001051;2025-03-19;2025-04-06;2025-03-27;78;2;2;46,0000;46,0000;0,0000;91,7884;4222,27;4222,27;8;SIM;SIM;Recebido
1052;PC001052;2025-09-09;2025-09-27;2025-09-24;78;2;2;46,0000;46,0000;0,0000;94,0962;4328,43;4328,43;15;SIM;SIM;Recebido
1053;PC001053;2025-10-29;2025-11-16;2025-11-18;78;2;2;25,0000;25,0000;0,0000;97,1683;2429,21;2429,21;20;NAO;SIM;Recebido
1054;PC001054;2026-01-02;2026-01-20;2026-01-17;78;2;2;43,0000;43,0000;0,0000;93,5192;4021,33;4021,33;15;SIM;SIM;Recebido
1055;PC001055;2026-04-10;2026-04-28;2026-04-24;78;2;2;46,0000;46,0000;0,0000;97,9873;4507,42;4507,42;14;SIM;SIM;Recebido
1056;PC001056;2026-06-18;2026-07-06;2026-06-30;78;2;2;46,0000;46,0000;0,0000;97,7242;4495,31;4495,31;12;SIM;SIM;Recebido
1057;PC001057;2026-07-07;2026-07-25;2026-07-24;78;2;2;46,0000;46,0000;0,0000;92,7169;4264,98;4264,98;17;SIM;SIM;Recebido
1058;PC001058;2026-08-21;2026-09-08;;78;2;2;30,0000;0,0000;0,0000;96,5359;2896,08;0,00;;NAO;NAO;Aberto
1059;PC001059;2024-09-24;2024-10-12;2024-10-12;79;26;1;150,0000;150,0000;0,0000;25,5369;3830,53;3830,53;18;SIM;SIM;Recebido
1060;PC001060;2025-01-15;2025-02-02;2025-01-29;79;26;1;105,0000;105,0000;0,0000;27,3238;2869,00;2869,00;14;SIM;SIM;Recebido
1061;PC001061;2025-08-29;2025-09-16;2025-09-13;79;26;1;150,0000;144,0000;0,0000;25,8051;3870,76;3715,93;15;SIM;NAO;Recebido
1062;PC001062;2025-10-07;2025-10-25;2025-10-22;79;26;1;150,0000;150,0000;0,0000;27,6181;4142,72;4142,72;15;SIM;SIM;Recebido
