SK_Item;CodigoItem;Descricao;Categoria;Subcategoria;UnidadeMedida;CurvaABC;Criticidade;EstoqueMinimo;EstoqueMaximo;PontoPedido;LoteMinimoCompra;LeadTimePadraoDias;CustoPadrao;Perecivel;ItemControlado;SK_FornecedorPreferencial;StatusItem;DataCadastro
170;IT01170;Tubos Material Ref 1170;Material Hidráulico;Tubos;UN;;Baixa;51;249;118;50;20;205,2300;NAO;NAO;1;Ativo;2021-07-22
171;IT01171;Proteção Respiratória EPI Ref 1171;EPI;Proteção Respiratória;LT;;Média;89;271;153;48;20;24,7900;NAO;SIM;1;Inativo;2023-01-19
172;IT01172;Medição Ferramentas Ref 1172;Ferramentas;Medição;CX;;Alta;43;233;111;23;45;531,1700;NAO;NAO;7;Ativo;2020-05-08
173;IT01173;Correias Peças Ref 1173;Peças de Reposição;Correias;MT;;Média;19;112;47;21;20;907,6500;NAO;NAO;15;Ativo;2023-08-23
174;IT01174;Óleos Lubrificantes Ref 1174;Lubrificantes;Óleos;MT;;Alta;103;426;136;71;7;199,7200;NAO;NAO;11;Ativo;2023-09-28
175;IT01175;Informática Material Ref 1175;Material de Escritório;Informática;CX;;Média;57;328;69;26;7;54,7100;NAO;NAO;31;Ativo;2024-03-07
176;IT01176;Químicos Limpeza Ref 1176;Limpeza e Higiene;Químicos;KG;;Alta;19;110;86;22;45;50,4400;NAO;NAO;14;Ativo;2023-03-21
177;IT01177;Conectores Material Ref 1177;Material Elétrico;Conectores;LT;;Média;50;208;97;24;30;294,3300;NAO;NAO;9;Ativo;2022-11-12
178;IT01178;Tubos Material Ref 1178;Material Hidráulico;Tubos;LT;;Baixa;109;352;234;93;20;94,7200;NAO;NAO;26;Ativo;2020-10-30
179;IT01179;Proteção Cabeça EPI Ref 1179;EPI;Proteção Cabeça;MT;;Alta;85;495;126;62;10;86,9000;NAO;SIM;25;Ativo;2022-06-20
180;IT01180;Medição Ferramentas Ref 1180;Ferramentas;Medição;CX;;Baixa;77;412;113;55;10;861,0300;NAO;NAO;21;Ativo;2019-07-07
181;IT01181;Rolamentos Peças Ref 1181;Peças de Reposição;Rolamentos;MT;;Média;33;118;48;33;7;1699,4500;NAO;NAO;33;Ativo;2019-02-23
182;IT01182;Óleos Lubrificantes Ref 1182;Lubrificantes;Óleos;MT;;Média;25;76;37;12;15;119,1000;NAO;NAO;16;Ativo;2019-12-14
183;IT01183;Impressão Material Ref 1183;Material de Escritório;Impressão;KG;;Média;15;53;34;14;20;33,7700;NAO;NAO;31;Ativo;2021-01-09
184;IT01184;Descartáveis Limpeza Ref 1184;Limpeza e Higiene;Descartáveis;KG;;Alta;62;206;173;55;30;76,2700;NAO;NAO;26;Ativo;2022-06-24
185;IT01185;Conectores Material Ref 1185;Material Elétrico;Conectores;KG;;Média;60;205;136;25;45;237,8200;NAO;NAO;13;Ativo;2019-12-30
186;IT01186;Vedação Material Ref 1186;Material Hidráulico;Vedação;KG;;Média;54;289;85;23;20;218,6300;NAO;NAO;26;Ativo;2024-03-23
187;IT01187;Proteção Mãos EPI Ref 1187;EPI;Proteção Mãos;PC;;Média;34;176;115;40;30;81,1600;NAO;SIM;19;Ativo;2019-05-22
188;IT01188;Corte Ferramentas Ref 1188;Ferramentas;Corte;PAR;;Média;26;134;40;14;15;686,8800;NAO;NAO;29;Ativo;2021-09-08
189;IT01189;Vedantes Peças Ref 1189;Peças de Reposição;Vedantes;KG;;Baixa;136;731;245;81;20;769,8400;NAO;NAO;35;Ativo;2024-02-16
190;IT01190;Óleos Lubrificantes Ref 1190;Lubrificantes;Óleos;PC;;Média;37;116;51;20;10;66,7100;NAO;NAO;22;Ativo;2021-05-31
191;IT01191;Papelaria Material Ref 1191;Material de Escritório;Papelaria;CX;;Média;36;182;78;21;30;10,3800;NAO;NAO;26;Ativo;2022-10-23
192;IT01192;Utensílios Limpeza Ref 1192;Limpeza e Higiene;Utensílios;UN;;Alta;14;59;34;15;20;50,8700;NAO;NAO;10;Ativo;2020-12-03
193;IT01193;Conectores Material Ref 1193;Material Elétrico;Conectores;KG;;Alta;58;295;76;38;7;230,8100;NAO;NAO;3;Ativo;2019-08-24
194;IT01194;Tubos Material Ref 1194;Material Hidráulico;Tubos;LT;;Alta;111;580;143;49;10;169,1500;NAO;NAO;11;Ativo;2021-05-23
195;IT01195;Calçados EPI Ref 1195;EPI;Calçados;PC;;Média;56;234;147;30;45;40,6200;NAO;SIM;13;Ativo;2021-05-29
196;IT01196;Corte Ferramentas Ref 1196;Ferramentas;Corte;UN;;Baixa;39;124;94;18;45;75,1900;NAO;NAO;35;Ativo;2020-10-29
197;IT01197;Correias Peças Ref 1197;Peças de Reposição;Correias;MT;;Média;50;197;93;21;30;656,3700;NAO;NAO;8;Ativo;2023-09-28
198;IT01198;Graxas Lubrificantes Ref 1198;Lubrificantes;Graxas;PC;;Alta;148;706;213;65;15;188,4300;NAO;NAO;20;Ativo;2021-02-03
199;IT01199;Impressão Material Ref 1199;Material de Escritório;Impressão;PC;;Média;41;146;99;29;30;18,4700;NAO;NAO;12;Ativo;2021-09-29
200;IT01200;Descartáveis Limpeza Ref 1200;Limpeza e Higiene;Descartáveis;MT;;Alta;53;310;64;24;7;21,4600;NAO;NAO;25;Ativo;2021-11-01
201;IT01201;Conectores Material Ref 1201;Material Elétrico;Conectores;UN;;Baixa;57;185;105;36;20;133,0900;NAO;NAO;15;Ativo;2020-07-16
202;IT01202;Conexões Material Ref 1202;Material Hidráulico;Conexões;LT;;Alta;32;144;79;16;45;100,9300;NAO;NAO;8;Ativo;2022-01-17
203;IT01203;Proteção Respiratória EPI Ref 1203;EPI;Proteção Respiratória;UN;;Baixa;99;591;178;59;20;74,6600;NAO;SIM;16;Ativo;2019-03-08
204;IT01204;Corte Ferramentas Ref 1204;Ferramentas;Corte;PAR;;Baixa;146;542;179;72;7;279,1800;NAO;NAO;23;Ativo;2022-06-03
205;IT01205;Vedantes Peças Ref 1205;Peças de Reposição;Vedantes;LT;;Média;30;141;39;14;10;285,9600;NAO;NAO;35;Ativo;2022-12-12
206;IT01206;Graxas Lubrificantes Ref 1206;Lubrificantes;Graxas;PAR;;Baixa;45;153;110;22;45;104,4200;SIM;NAO;18;Ativo;2019-09-17
207;IT01207;Impressão Material Ref 1207;Material de Escritório;Impressão;MT;;Alta;41;206;55;20;10;79,9000;NAO;NAO;18;Ativo;2021-02-07
208;IT01208;Descartáveis Limpeza Ref 1208;Limpeza e Higiene;Descartáveis;KG;;Média;103;395;187;63;20;18,7200;NAO;NAO;32;Ativo;2019-01-06
209;IT01209;Cabos Material Ref 1209;Material Elétrico;Cabos;MT;;Média;73;393;107;34;15;213,3800;NAO;NAO;28;Ativo;2021-10-10
210;IT01210;Registros Material Ref 1210;Material Hidráulico;Registros;KG;;Baixa;38;169;53;23;10;67,5100;NAO;NAO;4;Inativo;2022-07-06
211;IT01211;Calçados EPI Ref 1211;EPI;Calçados;CX;;Baixa;66;388;176;83;20;20,0600;NAO;SIM;9;Ativo;2020-09-10
212;IT01212;Elétricas Ferramentas Ref 1212;Ferramentas;Elétricas;PC;;Alta;88;362;162;74;15;996,1300;NAO;NAO;26;Ativo;2023-01-26
213;IT01213;Correias Peças Ref 1213;Peças de Reposição;Correias;CX;;Média;18;61;26;11;10;616,5900;NAO;NAO;29;Inativo;2022-11-25
214;IT01214;Graxas Lubrificantes Ref 1214;Lubrificantes;Graxas;UN;;Baixa;154;568;220;99;10;259,9100;NAO;NAO;21;Ativo;2020-09-04
215;IT01215;Papelaria Material Ref 1215;Material de Escritório;Papelaria;LT;;Média;156;535;352;65;45;33,9100;NAO;NAO;11;Ativo;2023-01-19
216;IT01216;Químicos Limpeza Ref 1216;Limpeza e Higiene;Químicos;UN;;Alta;22;80;66;15;45;46,6300;NAO;NAO;8;Ativo;2021-02-25
217;IT01217;Lâmpadas Material Ref 1217;Material Elétrico;Lâmpadas;LT;;Média;45;169;69;24;15;318,4200;NAO;NAO;19;Ativo;2022-11-15
218;IT01218;Tubos Material Ref 1218;Material Hidráulico;Tubos;MT;;Média;88;314;187;50;30;168,7700;NAO;NAO;4;Ativo;2023-06-14
219;IT01219;Proteção Mãos EPI Ref 1219;EPI;Proteção Mãos;UN;;Baixa;12;68;37;13;30;68,8700;NAO;SIM;21;Ativo;2023-10-29
220;IT01220;Corte Ferramentas Ref 1220;Ferramentas;Corte;KG;;Média;43;138;67;52;7;367,3100;NAO;NAO;4;Ativo;2021-03-26
221;IT01221;Filtros Peças Ref 1221;Peças de Reposição;Filtros;LT;;Média;53;261;164;37;45;922,6800;NAO;NAO;18;Ativo;2019-06-11
222;IT01222;Fluidos Lubrificantes Ref 1222;Lubrificantes;Fluidos;PAR;;Média;133;652;226;93;15;314,7300;SIM;NAO;20;Ativo;2023-02-03
223;IT01223;Papelaria Material Ref 1223;Material de Escritório;Papelaria;PC;;Baixa;20;63;35;11;20;13,6500;NAO;NAO;12;Ativo;2022-12-20
224;IT01224;Químicos Limpeza Ref 1224;Limpeza e Higiene;Químicos;KG;;Alta;25;137;56;16;30;51,6600;NAO;NAO;9;Ativo;2023-11-24
225;IT01225;Lâmpadas Material Ref 1225;Material Elétrico;Lâmpadas;UN;;Média;27;103;40;13;15;214,0000;NAO;NAO;5;Ativo;2021-11-12
226;IT01226;Registros Material Ref 1226;Material Hidráulico;Registros;LT;;Média;86;285;134;71;10;32,6500;NAO;NAO;8;Ativo;2021-11-08
227;IT01227;Proteção Cabeça EPI Ref 1227;EPI;Proteção Cabeça;CX;;Baixa;99;570;195;72;20;23,3300;NAO;SIM;3;Ativo;2024-02-15
228;IT01228;Corte Ferramentas Ref 1228;Ferramentas;Corte;KG;;Alta;25;81;45;20;15;247,8600;NAO;NAO;4;Ativo;2023-07-06
229;IT01229;Rolamentos Peças Ref 1229;Peças de Reposição;Rolamentos;UN;;Média;20;79;30;10;15;1750,8800;NAO;NAO;1;Ativo;2020-08-20
230;IT01230;Fluidos Lubrificantes Ref 1230;Lubrificantes;Fluidos;PAR;;Baixa;100;448;157;57;15;246,2200;SIM;NAO;35;Ativo;2020-05-17
231;IT01231;Papelaria Material Ref 1231;Material de Escritório;Papelaria;UN;;Baixa;56;285;87;31;15;9,8500;NAO;NAO;1;Ativo;2021-02-09
232;IT01232;Utensílios Limpeza Ref 1232;Limpeza e Higiene;Utensílios;CX;;Baixa;18;106;26;12;10;53,5700;NAO;NAO;6;Inativo;2020-04-19
233;IT01233;Conectores Material Ref 1233;Material Elétrico;Conectores;PC;;Baixa;49;221;62;28;7;204,3100;NAO;NAO;5;Ativo;2019-05-08
234;IT01234;Vedação Material Ref 1234;Material Hidráulico;Vedação;PAR;;Baixa;31;130;45;14;15;124,0900;NAO;NAO;21;Ativo;2020-04-23
235;IT01235;Proteção Cabeça EPI Ref 1235;EPI;Proteção Cabeça;MT;;Média;15;52;22;14;7;149,5100;NAO;SIM;8;Ativo;2024-05-29
236;IT01236;Elétricas Ferramentas Ref 1236;Ferramentas;Elétricas;PAR;;Baixa;36;182;52;34;7;447,3400;NAO;NAO;3;Ativo;2023-10-21
237;IT01237;Filtros Peças Ref 1237;Peças de Reposição;Filtros;KG;;Baixa;88;443;161;54;20;265,8100;NAO;NAO;12;Inativo;2021-04-08
238;IT01238;Graxas Lubrificantes Ref 1238;Lubrificantes;Graxas;UN;;Alta;85;291;104;41;7;170,5400;SIM;NAO;15;Ativo;2023-08-14
239;IT01239;Informática Material Ref 1239;Material de Escritório;Informática;UN;;Alta;82;472;176;47;30;33,1800;NAO;NAO;5;Ativo;2022-08-15
240;IT01240;Descartáveis Limpeza Ref 1240;Limpeza e Higiene;Descartáveis;UN;;Alta;11;64;22;11;15;60,3600;NAO;NAO;28;Ativo;2021-03-19
241;IT01241;Conectores Material Ref 1241;Material Elétrico;Conectores;MT;;Baixa;117;448;152;52;10;61,3300;NAO;NAO;3;Ativo;2022-06-17
242;IT01242;Conexões Material Ref 1242;Material Hidráulico;Conexões;CX;;Média;33;127;82;37;20;121,0700;NAO;NAO;34;Ativo;2023-07-01
243;IT01243;Proteção Cabeça EPI Ref 1243;EPI;Proteção Cabeça;LT;;Média;127;512;250;62;30;172,4600;NAO;SIM;25;Ativo;2019-02-23
244;IT01244;Medição Ferramentas Ref 1244;Ferramentas;Medição;LT;;Média;6;36;13;7;15;597,4800;NAO;NAO;15;Ativo;2019-07-25
245;IT01245;Correias Peças Ref 1245;Peças de Reposição;Correias;CX;;Média;19;114;84;22;45;972,2900;NAO;NAO;25;Ativo;2023-09-15
246;IT01246;Óleos Lubrificantes Ref 1246;Lubrificantes;Óleos;PC;;Baixa;61;291;193;44;45;80,2000;SIM;NAO;10;Ativo;2020-01-21
247;IT01247;Informática Material Ref 1247;Material de Escritório;Informática;LT;;Média;19;69;27;16;7;45,8600;NAO;NAO;22;Ativo;2020-02-17
248;IT01248;Químicos Limpeza Ref 1248;Limpeza e Higiene;Químicos;PC;;Baixa;15;52;31;16;15;30,6000;NAO;NAO;8;Ativo;2023-10-29
249;IT01249;Lâmpadas Material Ref 1249;Material Elétrico;Lâmpadas;KG;;Alta;49;196;87;28;20;316,2100;NAO;NAO;11;Ativo;2021-06-13
250;IT01250;Vedação Material Ref 1250;Material Hidráulico;Vedação;KG;;Média;36;174;84;16;45;121,4500;NAO;NAO;12;Ativo;2023-02-12
