SK_Contagem;DataContagem;CicloInventario;SK_Item;SK_Deposito;QuantidadeSistema;QuantidadeContada;DivergenciaQuantidade;CustoMedio;DivergenciaValor;FlagSemDivergencia;Contador
261;2025-11-24;CIC-202511;89;1;85,0000;85,0000;0,0000;83,8795;0,00;SIM;Contador C
262;2026-08-17;CIC-202608;89;1;85,0000;85,0000;0,0000;83,8795;0,00;SIM;Contador B
263;2024-10-30;CIC-202410;90;2;26,0000;26,0000;0,0000;73,9337;0,00;SIM;Contador A
264;2025-04-04;CIC-202504;90;3;85,0000;85,0000;0,0000;74,8476;0,00;SIM;Contador C
265;2025-07-07;CIC-202507;90;3;110,0000;110,0000;0,0000;74,5939;0,00;SIM;Contador C
266;2025-08-04;CIC-202508;90;3;20,0000;20,0000;0,0000;74,7942;0,00;SIM;Contador A
267;2025-10-21;CIC-202510;90;3;95,0000;95,0000;0,0000;74,7942;0,00;SIM;Contador C
268;2026-04-10;CIC-202604;90;3;152,0000;152,0000;0,0000;75,6732;0,00;SIM;Contador A
269;2024-11-27;CIC-202411;91;1;269,0000;269,0000;0,0000;49,5307;0,00;SIM;Contador A
270;2025-05-27;CIC-202505;91;1;123,0000;123,0000;0,0000;49,2750;0,00;SIM;Contador A
271;2025-07-30;CIC-202507;91;1;237,0000;237,0000;0,0000;49,2219;0,00;SIM;Contador B
272;2025-10-23;CIC-202510;91;1;51,0000;51,0000;0,0000;49,5777;0,00;SIM;Contador A
273;2025-02-14;CIC-202502;92;1;113,0000;113,0000;0,0000;263,4742;0,00;SIM;Contador B
274;2026-07-17;CIC-202607;92;1;73,0000;73,0000;0,0000;271,6102;0,00;SIM;Contador C
275;2025-04-25;CIC-202504;93;1;28,0000;28,0000;0,0000;175,1487;0,00;SIM;Contador A
276;2025-07-08;CIC-202507;93;1;24,0000;24,0000;0,0000;177,0177;0,00;SIM;Contador A
277;2026-06-25;CIC-202606;93;1;18,0000;18,0000;0,0000;181,0131;0,00;SIM;Contador A
278;2026-07-24;CIC-202607;93;1;22,0000;22,0000;0,0000;181,8502;0,00;SIM;Contador B
279;2025-06-13;CIC-202506;94;1;174,0000;174,0000;0,0000;313,4333;0,00;SIM;Contador C
280;2026-03-26;CIC-202603;94;1;193,0000;193,0000;0,0000;312,3826;0,00;SIM;Contador C
281;2026-03-05;CIC-202603;95;1;223,0000;223,0000;0,0000;80,2153;0,00;SIM;Contador C
282;2026-04-21;CIC-202604;95;1;122,0000;122,0000;0,0000;80,5062;0,00;SIM;Contador B
283;2026-08-28;CIC-202608;95;1;15,0000;15,0000;0,0000;80,5062;0,00;SIM;Contador B
284;2025-12-17;CIC-202512;96;2;93,0000;93,0000;0,0000;32,1916;0,00;SIM;Contador B
285;2026-06-25;CIC-202606;96;2;147,0000;147,0000;0,0000;32,3847;0,00;SIM;Contador A
286;2025-03-07;CIC-202503;96;3;155,0000;155,0000;0,0000;30,6136;0,00;SIM;Contador B
287;2025-04-11;CIC-202504;96;3;0,0000;0,0000;0,0000;30,9494;0,00;SIM;Contador C
288;2026-03-16;CIC-202603;96;3;23,0000;23,0000;0,0000;31,5441;0,00;SIM;Contador B
289;2026-08-14;CIC-202608;96;3;237,0000;237,0000;0,0000;32,2271;0,00;SIM;Contador C
290;2026-04-07;CIC-202604;97;1;359,0000;359,0000;0,0000;196,8654;0,00;SIM;Contador B
291;2025-11-28;CIC-202511;98;1;59,0000;59,0000;0,0000;77,7725;0,00;SIM;Contador A
292;2025-03-27;CIC-202503;99;1;135,0000;135,0000;0,0000;140,2487;0,00;SIM;Contador A
293;2024-11-08;CIC-202411;100;1;184,0000;184,0000;0,0000;887,1969;0,00;SIM;Contador B
294;2025-05-19;CIC-202505;100;1;144,0000;144,0000;0,0000;891,7766;0,00;SIM;Contador B
295;2025-06-25;CIC-202506;100;1;24,0000;24,0000;0,0000;902,0866;0,00;SIM;Contador C
296;2025-10-10;CIC-202510;100;1;29,0000;29,0000;0,0000;908,1830;0,00;SIM;Contador A
297;2025-05-06;CIC-202505;101;1;107,0000;107,0000;0,0000;437,7871;0,00;SIM;Contador C
298;2024-09-19;CIC-202409;102;3;139,0000;139,0000;0,0000;129,1700;0,00;SIM;Contador B
299;2026-01-19;CIC-202601;102;3;20,0000;20,0000;0,0000;131,5364;0,00;SIM;Contador B
300;2026-05-21;CIC-202605;102;3;28,0000;28,0000;0,0000;135,0281;0,00;SIM;Contador B
301;2026-01-12;CIC-202601;102;2;84,0000;84,0000;0,0000;129,7648;0,00;SIM;Contador A
302;2024-12-23;CIC-202412;103;2;42,0000;42,0000;0,0000;60,0768;0,00;SIM;Contador B
303;2025-10-09;CIC-202510;103;3;118,0000;118,0000;0,0000;60,1876;0,00;SIM;Contador A
304;2025-04-09;CIC-202504;104;3;21,0000;21,0000;0,0000;41,3797;0,00;SIM;Contador A
305;2026-06-02;CIC-202606;104;3;28,0000;28,0000;0,0000;42,5172;0,00;SIM;Contador A
306;2026-07-28;CIC-202607;104;3;28,0000;28,0000;0,0000;42,5172;0,00;SIM;Contador C
307;2025-02-12;CIC-202502;104;1;3,0000;3,0000;0,0000;41,3449;0,00;SIM;Contador A
308;2025-05-12;CIC-202505;104;1;23,0000;23,0000;0,0000;41,8074;0,00;SIM;Contador C
309;2025-01-30;CIC-202501;105;3;33,0000;33,0000;0,0000;177,3619;0,00;SIM;Contador B
310;2025-12-22;CIC-202512;105;3;39,0000;39,0000;0,0000;181,1466;0,00;SIM;Contador A
311;2026-01-05;CIC-202601;105;1;27,0000;27,0000;0,0000;178,8394;0,00;SIM;Contador A
312;2026-08-19;CIC-202608;105;1;18,0000;18,0000;0,0000;178,2733;0,00;SIM;Contador B
313;2024-10-14;CIC-202410;106;1;76,0000;76,0000;0,0000;99,0073;0,00;SIM;Contador A
314;2025-05-26;CIC-202505;106;1;269,0000;269,0000;0,0000;99,9189;0,00;SIM;Contador B
315;2025-08-11;CIC-202508;106;1;145,0000;145,0000;0,0000;100,3969;0,00;SIM;Contador C
316;2025-10-13;CIC-202510;106;1;96,0000;96,0000;0,0000;101,4525;0,00;SIM;Contador A
317;2025-10-07;CIC-202510;107;1;19,0000;19,0000;0,0000;43,9385;0,00;SIM;Contador A
318;2026-06-17;CIC-202606;107;1;10,0000;10,0000;0,0000;44,2729;0,00;SIM;Contador B
319;2025-05-13;CIC-202505;108;1;104,0000;104,0000;0,0000;884,2274;0,00;SIM;Contador C
320;2025-09-01;CIC-202509;108;1;133,0000;133,0000;0,0000;880,8167;0,00;SIM;Contador C
321;2025-03-26;CIC-202503;109;2;90,0000;90,0000;0,0000;142,0347;0,00;SIM;Contador A
322;2024-10-10;CIC-202410;110;1;0,0000;0,0000;0,0000;84,0886;0,00;SIM;Contador B
323;2026-07-27;CIC-202607;110;1;138,0000;138,0000;0,0000;86,0924;0,00;SIM;Contador B
324;2024-11-12;CIC-202411;110;3;16,0000;16,0000;0,0000;84,8468;0,00;SIM;Contador A
325;2024-12-17;CIC-202412;110;3;0,0000;0,0000;0,0000;85,7941;0,00;SIM;Contador B
326;2025-09-26;CIC-202509;110;3;104,0000;104,0000;0,0000;88,5323;0,00;SIM;Contador B
327;2026-02-19;CIC-202602;110;3;0,0000;0,0000;0,0000;90,5891;0,00;SIM;Contador B
328;2026-06-26;CIC-202606;110;3;161,0000;161,0000;0,0000;91,9502;0,00;SIM;Contador B
329;2025-09-29;CIC-202509;111;1;27,0000;27,0000;0,0000;107,2774;0,00;SIM;Contador A
330;2025-12-05;CIC-202512;111;1;107,0000;107,0000;0,0000;107,9952;0,00;SIM;Contador C
331;2025-02-12;CIC-202502;113;1;23,0000;24,0000;1,0000;181,4340;181,43;NAO;Contador B
332;2025-10-21;CIC-202510;113;1;3,0000;3,0000;0,0000;182,2978;0,00;SIM;Contador B
333;2026-02-17;CIC-202602;114;1;82,0000;82,0000;0,0000;30,4981;0,00;SIM;Contador A
334;2026-04-01;CIC-202604;114;1;82,0000;82,0000;0,0000;30,4981;0,00;SIM;Contador A
335;2026-06-10;CIC-202606;114;1;82,0000;82,0000;0,0000;30,4981;0,00;SIM;Contador C
336;2025-05-07;CIC-202505;116;1;90,0000;90,0000;0,0000;285,7280;0,00;SIM;Contador A
337;2025-10-23;CIC-202510;116;1;34,0000;34,0000;0,0000;286,1517;0,00;SIM;Contador A
338;2026-04-24;CIC-202604;117;1;293,0000;293,0000;0,0000;1564,4216;0,00;SIM;Contador B
339;2026-07-01;CIC-202607;117;1;384,0000;384,0000;0,0000;1573,1943;0,00;SIM;Contador C
340;2024-09-25;CIC-202409;117;3;62,0000;62,0000;0,0000;1534,7282;0,00;SIM;Contador A
341;2025-05-08;CIC-202505;117;3;351,0000;351,0000;0,0000;1526,9014;0,00;SIM;Contador A
342;2026-01-05;CIC-202601;118;2;37,0000;37,0000;0,0000;287,9778;0,00;SIM;Contador B
343;2026-03-25;CIC-202603;118;2;95,0000;95,0000;0,0000;290,8881;0,00;SIM;Contador A
344;2024-10-24;CIC-202410;118;3;157,0000;157,0000;0,0000;274,2976;0,00;SIM;Contador C
345;2024-11-13;CIC-202411;118;3;98,0000;98,0000;0,0000;277,1554;0,00;SIM;Contador C
346;2025-04-03;CIC-202504;118;3;175,0000;175,0000;0,0000;275,8049;0,00;SIM;Contador B
347;2026-07-30;CIC-202607;118;3;241,0000;241,0000;0,0000;290,0470;0,00;SIM;Contador A
348;2025-02-26;CIC-202502;119;2;15,0000;15,0000;0,0000;32,6260;0,00;SIM;Contador A
349;2026-05-18;CIC-202605;119;2;117,0000;117,0000;0,0000;33,3452;0,00;SIM;Contador C
350;2024-09-09;CIC-202409;119;1;87,0000;87,0000;0,0000;32,2271;0,00;SIM;Contador A
351;2025-10-30;CIC-202510;119;1;4,0000;4,0000;0,0000;33,3231;0,00;SIM;Contador B
352;2026-06-15;CIC-202606;119;1;83,0000;83,0000;0,0000;33,7753;0,00;SIM;Contador A
353;2024-09-13;CIC-202409;120;1;29,0000;29,0000;0,0000;61,9913;0,00;SIM;Contador A
354;2026-05-21;CIC-202605;120;1;27,0000;27,0000;0,0000;66,4721;0,00;SIM;Contador B
355;2024-11-18;CIC-202411;121;2;204,0000;204,0000;0,0000;155,9460;0,00;SIM;Contador A
356;2024-12-25;CIC-202412;121;2;0,0000;0,0000;0,0000;156,0183;0,00;SIM;Contador C
357;2025-01-06;CIC-202501;121;2;186,0000;186,0000;0,0000;157,4162;0,00;SIM;Contador A
358;2025-08-19;CIC-202508;121;2;137,0000;137,0000;0,0000;156,6269;0,00;SIM;Contador B
359;2025-11-28;CIC-202511;121;2;282,0000;282,0000;0,0000;156,6269;0,00;SIM;Contador C
360;2026-03-27;CIC-202603;121;2;282,0000;282,0000;0,0000;156,6269;0,00;SIM;Contador C
361;2026-04-21;CIC-202604;121;2;282,0000;282,0000;0,0000;156,6269;0,00;SIM;Contador A
362;2026-06-15;CIC-202606;121;2;282,0000;282,0000;0,0000;156,6269;0,00;SIM;Contador A
363;2024-10-02;CIC-202410;121;1;275,0000;275,0000;0,0000;153,5200;0,00;SIM;Contador A
364;2024-11-19;CIC-202411;122;1;95,0000;95,0000;0,0000;169,5723;0,00;SIM;Contador A
365;2025-01-31;CIC-202501;123;3;255,0000;255,0000;0,0000;34,8153;0,00;SIM;Contador A
366;2025-10-21;CIC-202510;123;3;230,0000;230,0000;0,0000;34,6891;0,00;SIM;Contador A
367;2024-12-30;CIC-202412;123;1;249,0000;249,0000;0,0000;35,1067;0,00;SIM;Contador C
368;2025-01-16;CIC-202501;123;1;11,0000;11,0000;0,0000;35,3149;0,00;SIM;Contador C
369;2026-04-20;CIC-202604;124;1;55,0000;55,0000;0,0000;698,7088;0,00;SIM;Contador B
370;2026-08-06;CIC-202608;124;1;0,0000;0,0000;0,0000;698,7088;0,00;SIM;Contador C
371;2026-01-08;CIC-202601;125;1;46,0000;46,0000;0,0000;446,5803;0,00;SIM;Contador A
372;2026-08-14;CIC-202608;125;1;35,0000;35,0000;0,0000;449,0633;0,00;SIM;Contador C
373;2024-10-08;CIC-202410;126;2;117,0000;117,0000;0,0000;382,7227;0,00;SIM;Contador C
374;2024-12-17;CIC-202412;126;2;102,0000;102,0000;0,0000;382,7227;0,00;SIM;Contador A
375;2024-09-18;CIC-202409;127;1;155,0000;155,0000;0,0000;94,5935;0,00;SIM;Contador B
376;2026-06-03;CIC-202606;127;1;457,0000;457,0000;0,0000;94,1874;0,00;SIM;Contador C
377;2024-11-11;CIC-202411;128;1;17,0000;17,0000;0,0000;38,6467;0,00;SIM;Contador B
378;2025-01-20;CIC-202501;128;1;124,0000;124,0000;0,0000;38,6467;0,00;SIM;Contador B
379;2025-10-21;CIC-202510;128;1;175,0000;175,0000;0,0000;39,2642;0,00;SIM;Contador C
380;2024-11-18;CIC-202411;129;1;29,0000;29,0000;0,0000;108,4434;0,00;SIM;Contador A
381;2025-04-04;CIC-202504;129;1;25,0000;25,0000;0,0000;109,4703;0,00;SIM;Contador C
382;2025-01-23;CIC-202501;130;1;90,0000;90,0000;0,0000;73,7826;0,00;SIM;Contador B
383;2026-02-05;CIC-202602;130;1;161,0000;161,0000;0,0000;74,3559;0,00;SIM;Contador C
384;2024-10-11;CIC-202410;130;3;159,0000;159,0000;0,0000;73,6033;0,00;SIM;Contador B
385;2025-05-28;CIC-202505;130;3;49,0000;49,0000;0,0000;74,0090;0,00;SIM;Contador B
386;2025-09-18;CIC-202509;130;3;149,0000;149,0000;0,0000;74,0969;0,00;SIM;Contador B
387;2026-01-08;CIC-202601;130;3;177,0000;177,0000;0,0000;73,8854;0,00;SIM;Contador C
388;2026-08-21;CIC-202608;130;3;149,0000;149,0000;0,0000;73,4944;0,00;SIM;Contador A
389;2024-12-02;CIC-202412;131;2;471,0000;471,0000;0,0000;55,3613;0,00;SIM;Contador B
390;2025-02-21;CIC-202502;131;1;511,0000;511,0000;0,0000;55,4214;0,00;SIM;Contador B
391;2026-01-19;CIC-202601;131;1;331,0000;331,0000;0,0000;56,1498;0,00;SIM;Contador A
392;2026-02-05;CIC-202602;131;1;10,0000;10,0000;0,0000;55,9177;0,00;SIM;Contador A
393;2026-06-23;CIC-202606;131;1;445,0000;445,0000;0,0000;56,1450;0,00;SIM;Contador C
394;2024-11-25;CIC-202411;132;1;124,0000;131,0000;7,0000;875,7314;6130,12;NAO;Contador B
395;2025-10-06;CIC-202510;132;1;146,0000;146,0000;0,0000;890,1130;0,00;SIM;Contador B
396;2024-12-05;CIC-202412;132;3;174,0000;174,0000;0,0000;874,3289;0,00;SIM;Contador C
397;2026-04-20;CIC-202604;132;3;79,0000;79,0000;0,0000;919,5870;0,00;SIM;Contador C
398;2026-08-21;CIC-202608;132;3;90,0000;90,0000;0,0000;919,6299;0,00;SIM;Contador A
399;2026-04-27;CIC-202604;133;1;0,0000;0,0000;0,0000;1114,1607;0,00;SIM;Contador A
400;2025-01-16;CIC-202501;134;1;187,0000;187,0000;0,0000;245,6597;0,00;SIM;Contador C
401;2025-03-12;CIC-202503;134;1;209,0000;209,0000;0,0000;244,7841;0,00;SIM;Contador A
402;2026-07-02;CIC-202607;134;1;67,0000;67,0000;0,0000;245,4570;0,00;SIM;Contador A
403;2026-08-06;CIC-202608;134;1;0,0000;0,0000;0,0000;245,4570;0,00;SIM;Contador B
404;2025-12-26;CIC-202512;135;1;400,0000;400,0000;0,0000;12,3802;0,00;SIM;Contador C
405;2025-09-29;CIC-202509;136;1;228,0000;228,0000;0,0000;68,1091;0,00;SIM;Contador C
406;2024-12-11;CIC-202412;137;1;192,0000;192,0000;0,0000;285,6193;0,00;SIM;Contador B
407;2025-08-05;CIC-202508;137;1;349,0000;349,0000;0,0000;283,2163;0,00;SIM;Contador C
408;2025-11-20;CIC-202511;137;1;249,0000;249,0000;0,0000;283,2163;0,00;SIM;Contador B
409;2025-03-07;CIC-202503;138;1;728,0000;786,0000;58,0000;54,3823;3154,17;NAO;Contador C
410;2025-01-31;CIC-202501;139;1;310,0000;310,0000;0,0000;46,2947;0,00;SIM;Contador C
411;2025-03-06;CIC-202503;139;1;70,0000;70,0000;0,0000;46,0260;0,00;SIM;Contador A
412;2026-02-27;CIC-202602;139;1;177,0000;177,0000;0,0000;46,3235;0,00;SIM;Contador B
413;2025-02-14;CIC-202502;140;1;142,0000;142,0000;0,0000;352,4548;0,00;SIM;Contador B
414;2025-04-21;CIC-202504;140;1;134,0000;134,0000;0,0000;356,6170;0,00;SIM;Contador A
415;2025-08-21;CIC-202508;140;1;54,0000;54,0000;0,0000;352,9653;0,00;SIM;Contador A
416;2025-10-22;CIC-202510;140;1;126,0000;126,0000;0,0000;352,9653;0,00;SIM;Contador B
417;2025-02-14;CIC-202502;141;3;72,0000;72,0000;0,0000;377,5486;0,00;SIM;Contador A
418;2025-04-23;CIC-202504;141;3;0,0000;0,0000;0,0000;384,4815;0,00;SIM;Contador A
419;2025-06-09;CIC-202506;141;3;102,0000;102,0000;0,0000;386,0494;0,00;SIM;Contador C
420;2025-08-01;CIC-202508;141;3;189,0000;189,0000;0,0000;388,7907;0,00;SIM;Contador A
421;2025-09-30;CIC-202509;141;3;185,0000;185,0000;0,0000;388,6004;0,00;SIM;Contador C
422;2026-01-27;CIC-202601;141;3;44,0000;44,0000;0,0000;394,8199;0,00;SIM;Contador A
423;2026-04-08;CIC-202604;141;3;249,0000;249,0000;0,0000;397,8494;0,00;SIM;Contador B
424;2025-04-16;CIC-202504;141;1;246,0000;246,0000;0,0000;377,6334;0,00;SIM;Contador A
425;2025-05-16;CIC-202505;142;2;998,0000;998,0000;0,0000;356,5439;0,00;SIM;Contador A
426;2025-08-08;CIC-202508;142;2;388,0000;388,0000;0,0000;356,6731;0,00;SIM;Contador C
427;2026-07-08;CIC-202607;142;2;1645,0000;1645,0000;0,0000;362,7158;0,00;SIM;Contador C
428;2026-08-05;CIC-202608;142;2;1426,0000;1426,0000;0,0000;362,7158;0,00;SIM;Contador C
429;2025-07-18;CIC-202507;142;1;137,0000;137,0000;0,0000;354,8607;0,00;SIM;Contador C
430;2026-04-02;CIC-202604;142;1;550,0000;550,0000;0,0000;354,8607;0,00;SIM;Contador C
431;2026-07-21;CIC-202607;142;1;731,0000;731,0000;0,0000;353,4769;0,00;SIM;Contador B
432;2026-01-01;CIC-202601;143;1;38,0000;38,0000;0,0000;88,8633;0,00;SIM;Contador C
433;2026-03-26;CIC-202603;143;1;70,0000;70,0000;0,0000;88,8633;0,00;SIM;Contador A
434;2026-03-25;CIC-202603;144;1;16,0000;16,0000;0,0000;77,9014;0,00;SIM;Contador B
435;2025-04-23;CIC-202504;144;3;28,0000;28,0000;0,0000;75,3648;0,00;SIM;Contador C
436;2025-05-09;CIC-202505;145;2;202,0000;202,0000;0,0000;302,4085;0,00;SIM;Contador C
437;2025-10-23;CIC-202510;145;2;366,0000;366,0000;0,0000;302,4085;0,00;SIM;Contador B
438;2026-01-08;CIC-202601;145;2;377,0000;377,0000;0,0000;302,4085;0,00;SIM;Contador C
439;2025-04-07;CIC-202504;147;1;211,0000;211,0000;0,0000;119,4340;0,00;SIM;Contador A
440;2026-07-20;CIC-202607;148;1;64,0000;64,0000;0,0000;468,9309;0,00;SIM;Contador C
441;2024-10-22;CIC-202410;150;1;194,0000;194,0000;0,0000;342,7000;0,00;SIM;Contador B
442;2025-08-20;CIC-202508;151;1;15,0000;15,0000;0,0000;82,0051;0,00;SIM;Contador A
443;2025-01-20;CIC-202501;154;1;84,0000;78,0000;-6,0000;31,7053;-190,23;NAO;Contador A
444;2025-03-12;CIC-202503;154;1;120,0000;120,0000;0,0000;31,8337;0,00;SIM;Contador C
445;2026-08-24;CIC-202608;154;1;132,0000;132,0000;0,0000;32,5123;0,00;SIM;Contador A
446;2024-10-21;CIC-202410;155;1;507,0000;507,0000;0,0000;55,7496;0,00;SIM;Contador C
447;2024-12-13;CIC-202412;155;1;353,0000;353,0000;0,0000;55,7496;0,00;SIM;Contador B
448;2025-07-25;CIC-202507;156;1;365,0000;365,0000;0,0000;211,7704;0,00;SIM;Contador B
449;2026-03-06;CIC-202603;157;1;84,0000;84,0000;0,0000;781,1615;0,00;SIM;Contador B
450;2024-10-01;CIC-202410;158;3;104,0000;104,0000;0,0000;241,6268;0,00;SIM;Contador A
451;2025-10-13;CIC-202510;158;3;175,0000;175,0000;0,0000;245,3045;0,00;SIM;Contador B
452;2026-06-22;CIC-202606;158;3;124,0000;124,0000;0,0000;248,3546;0,00;SIM;Contador C
453;2025-04-21;CIC-202504;158;2;0,0000;0,0000;0,0000;243,9480;0,00;SIM;Contador B
454;2026-05-14;CIC-202605;158;2;109,0000;109,0000;0,0000;249,6725;0,00;SIM;Contador B
455;2026-08-31;CIC-202608;158;2;205,0000;205,0000;0,0000;250,9264;0,00;SIM;Contador B
456;2024-10-25;CIC-202410;159;1;62,0000;62,0000;0,0000;37,7905;0,00;SIM;Contador B
457;2026-04-02;CIC-202604;159;1;157,0000;157,0000;0,0000;39,1572;0,00;SIM;Contador A
458;2026-06-24;CIC-202606;159;1;11,0000;11,0000;0,0000;39,5187;0,00;SIM;Contador A
459;2025-08-15;CIC-202508;159;2;121,0000;121,0000;0,0000;38,2044;0,00;SIM;Contador A
460;2026-05-22;CIC-202605;159;2;245,0000;245,0000;0,0000;38,8625;0,00;SIM;Contador A
461;2024-09-27;CIC-202409;160;1;101,0000;101,0000;0,0000;61,2000;0,00;SIM;Contador B
462;2025-09-18;CIC-202509;160;1;153,0000;153,0000;0,0000;61,8267;0,00;SIM;Contador B
463;2024-09-10;CIC-202409;160;2;52,0000;52,0000;0,0000;61,7555;0,00;SIM;Contador A
464;2025-05-16;CIC-202505;160;2;99,0000;99,0000;0,0000;61,9507;0,00;SIM;Contador B
465;2025-08-25;CIC-202508;160;2;88,0000;88,0000;0,0000;63,7371;0,00;SIM;Contador B
466;2026-04-08;CIC-202604;160;2;127,0000;127,0000;0,0000;64,4034;0,00;SIM;Contador B
467;2026-06-12;CIC-202606;160;2;90,0000;90,0000;0,0000;64,4858;0,00;SIM;Contador C
468;2025-01-07;CIC-202501;161;1;154,0000;154,0000;0,0000;67,0374;0,00;SIM;Contador B
469;2024-09-06;CIC-202409;162;1;112,0000;112,0000;0,0000;56,2000;0,00;SIM;Contador C
470;2025-07-10;CIC-202507;162;3;56,0000;56,0000;0,0000;56,0572;0,00;SIM;Contador C
471;2026-01-29;CIC-202601;163;1;69,0000;69,0000;0,0000;42,1221;0,00;SIM;Contador A
472;2026-04-24;CIC-202604;163;1;45,0000;45,0000;0,0000;42,3712;0,00;SIM;Contador C
473;2024-12-02;CIC-202412;164;1;97,0000;97,0000;0,0000;988,9720;0,00;SIM;Contador C
474;2026-01-23;CIC-202601;164;1;159,0000;159,0000;0,0000;998,8364;0,00;SIM;Contador C
475;2025-03-06;CIC-202503;165;3;56,0000;56,0000;0,0000;344,4596;0,00;SIM;Contador C
476;2026-03-31;CIC-202603;165;3;190,0000;190,0000;0,0000;345,6723;0,00;SIM;Contador C
477;2026-06-30;CIC-202606;165;3;83,0000;83,0000;0,0000;346,9926;0,00;SIM;Contador B
478;2025-01-08;CIC-202501;165;1;256,0000;256,0000;0,0000;344,1338;0,00;SIM;Contador C
479;2024-10-22;CIC-202410;166;2;34,0000;34,0000;0,0000;112,0063;0,00;SIM;Contador A
480;2025-01-03;CIC-202501;166;2;66,0000;66,0000;0,0000;111,6450;0,00;SIM;Contador B
481;2025-12-31;CIC-202512;166;2;175,0000;175,0000;0,0000;113,3676;0,00;SIM;Contador A
482;2025-01-08;CIC-202501;166;1;96,0000;96,0000;0,0000;112,6350;0,00;SIM;Contador A
483;2025-12-12;CIC-202512;166;1;210,0000;210,0000;0,0000;114,8116;0,00;SIM;Contador A
484;2024-09-27;CIC-202409;167;1;0,0000;0,0000;0,0000;33,1736;0,00;SIM;Contador C
485;2025-01-14;CIC-202501;167;1;50,0000;50,0000;0,0000;33,3410;0,00;SIM;Contador C
486;2025-12-23;CIC-202512;167;2;41,0000;41,0000;0,0000;34,0149;0,00;SIM;Contador A
487;2026-03-06;CIC-202603;168;2;166,0000;166,0000;0,0000;26,1426;0,00;SIM;Contador C
488;2026-06-09;CIC-202606;168;2;198,0000;198,0000;0,0000;26,2654;0,00;SIM;Contador B
489;2024-10-31;CIC-202410;169;3;426,0000;426,0000;0,0000;143,8877;0,00;SIM;Contador C
490;2024-11-04;CIC-202411;169;3;386,0000;386,0000;0,0000;143,8877;0,00;SIM;Contador B
491;2025-01-01;CIC-202501;169;3;277,0000;277,0000;0,0000;143,8877;0,00;SIM;Contador C
492;2025-03-27;CIC-202503;169;3;77,0000;77,0000;0,0000;143,2456;0,00;SIM;Contador B
493;2025-04-10;CIC-202504;169;3;302,0000;302,0000;0,0000;143,2456;0,00;SIM;Contador C
494;2026-06-25;CIC-202606;169;3;60,0000;60,0000;0,0000;147,6193;0,00;SIM;Contador B
495;2024-10-21;CIC-202410;169;1;415,0000;415,0000;0,0000;144,4526;0,00;SIM;Contador A
496;2025-04-14;CIC-202504;169;1;0,0000;0,0000;0,0000;146,4301;0,00;SIM;Contador A
497;2025-09-17;CIC-202509;170;1;75,0000;75,0000;0,0000;207,4056;0,00;SIM;Contador B
498;2026-03-16;CIC-202603;170;1;119,0000;119,0000;0,0000;213,3260;0,00;SIM;Contador A
499;2026-08-10;CIC-202608;170;1;89,0000;89,0000;0,0000;215,1786;0,00;SIM;Contador C
500;2024-10-22;CIC-202410;171;1;222,0000;222,0000;0,0000;24,6677;0,00;SIM;Contador A
501;2025-07-21;CIC-202507;171;1;118,0000;118,0000;0,0000;24,8646;0,00;SIM;Contador C
502;2026-05-07;CIC-202605;171;1;15,0000;15,0000;0,0000;25,7126;0,00;SIM;Contador B
503;2026-01-16;CIC-202601;173;1;82,0000;82,0000;0,0000;920,3514;0,00;SIM;Contador C
504;2025-11-14;CIC-202511;174;2;79,0000;79,0000;0,0000;206,9744;0,00;SIM;Contador C
505;2025-12-11;CIC-202512;174;2;374,0000;374,0000;0,0000;206,9744;0,00;SIM;Contador A
506;2025-06-05;CIC-202506;174;3;180,0000;180,0000;0,0000;202,5999;0,00;SIM;Contador C
507;2025-09-26;CIC-202509;174;3;216,0000;216,0000;0,0000;204,1304;0,00;SIM;Contador A
508;2026-03-17;CIC-202603;174;3;0,0000;0,0000;0,0000;205,0872;0,00;SIM;Contador C
509;2026-08-20;CIC-202608;174;3;426,0000;426,0000;0,0000;206,6557;0,00;SIM;Contador A
510;2025-02-17;CIC-202502;175;2;313,0000;313,0000;0,0000;55,0426;0,00;SIM;Contador C
511;2025-03-13;CIC-202503;175;2;209,0000;209,0000;0,0000;55,0426;0,00;SIM;Contador A
512;2025-08-18;CIC-202508;175;2;146,0000;146,0000;0,0000;55,3433;0,00;SIM;Contador C
513;2025-10-30;CIC-202510;175;2;193,0000;193,0000;0,0000;55,1809;0,00;SIM;Contador C
514;2025-11-25;CIC-202511;175;2;97,0000;97,0000;0,0000;55,1809;0,00;SIM;Contador B
515;2026-01-19;CIC-202601;175;2;0,0000;0,0000;0,0000;55,2767;0,00;SIM;Contador B
516;2025-05-21;CIC-202505;175;1;180,0000;180,0000;0,0000;54,6774;0,00;SIM;Contador C
517;2025-12-12;CIC-202512;175;1;0,0000;0,0000;0,0000;54,9874;0,00;SIM;Contador B
518;2026-05-05;CIC-202605;175;1;64,0000;64,0000;0,0000;54,8080;0,00;SIM;Contador B
519;2024-10-28;CIC-202410;176;1;70,0000;70,0000;0,0000;50,5589;0,00;SIM;Contador B
520;2025-04-08;CIC-202504;176;1;55,0000;55,0000;0,0000;51,3787;0,00;SIM;Contador C
521;2025-11-12;CIC-202511;176;1;28,0000;28,0000;0,0000;51,6112;0,00;SIM;Contador A
522;2025-10-23;CIC-202510;177;3;95,0000;95,0000;0,0000;296,8090;0,00;SIM;Contador A
